definition_id,criteria_name,value,unit,value_si
def_lat_2000_347,min_area,0.1,ha,0.1
def_lat_2000_347,min_canopy_cover,20.0,,20.0
def_lat_2000_347,min_height,7.0,m,7.0
def_unk_2017_348,min_area,1.0,hectare,1.0
def_unk_2017_348,min_canopy_cover,30.0,,30.0
def_unk_2017_348,min_height,5.0,meter,5.0
def_unk_2006_349,min_height,0.25,m,0.25
def_lit_2001_350,min_area,0.1,hectare,0.1
def_lit_2001_350,min_height,5.0,meter,5.0
def_lit_2010_351,min_area,0.1,ha,0.1
def_lit_2010_351,min_height,5.0,m,5.0
def_unk_unknown_352,min_area,5.0,ha,5.0
def_unk_unknown_352,min_height,5.0,m,5.0
def_nep_unknown_354,min_canopy_cover,10.0,,10.0
def_new_2006_355,min_area,0.5,ha,0.5
def_new_2006_355,min_canopy_cover,30.0,,30.0
def_new_2006_355,min_height,5.0,m,5.0
def_new_2006_355,min_width,5.0,metre,5.0
def_new_2011_356,min_area,1.0,hectare,1.0
def_new_2011_356,min_canopy_cover,30.0,,30.0
def_new_2011_356,min_height,30.0,metre,30.0
def_new_2011_356,min_width,30.0,metre,30.0
def_new_unknown_357,min_canopy_cover,30.0,,30.0
def_new_unknown_357,min_height,30.0,metre,30.0
def_new_unknown_357,min_width,30.0,metre,30.0
def_por_1997_364,min_height,2000.0,m,2000.0
def_por_1997_364,min_width,15.0,m,15.0
def_ser_2010_365,min_area,0.01,ha,0.01
def_slo_1993_366,min_area,0.05,ha,0.05
def_sou_unknown_371,min_canopy_cover,202001.0,,202001.0
def_swe_2009_372,min_canopy_cover,10.0,,10.0
def_swe_2009_372,min_height,5.0,m,5.0
def_swi_2006_374,min_height,0.25,m,0.25
def_unk_unknown_375,min_area,0.5,hectare,0.5
def_unk_unknown_375,min_height,50.0,meter,50.0
def_unk_unknown_375,min_width,50.0,meter,50.0
def_tan_2002_376,min_canopy_cover,10.0,,10.0
def_tan_2016_377,min_area,0.5,ha,0.5
def_tan_2016_377,min_canopy_cover,10.0,,10.0
def_tan_2016_377,min_height,2.5,m,2.5
def_tur_1956_380,min_area,3.0,ha,3.0
def_tur_1956_380,min_height,8.0,m,8.0
def_uni_2010_381,min_canopy_cover,20.0,,20.0
def_uni_2009_382,min_area,0.1,hectare,0.1
